tokenizer,omitted_issue_date,n_omitted,n_remaining,metric,full_sample,omission_value,pct_change
RoBERTalex,20240215,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20240415,10,390,mediana,759.5,768.0,1.1191573403555033
RoBERTalex,20240415,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20240415,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20240515,10,390,mediana,759.5,742.0,-2.304147465437789
RoBERTalex,20240515,10,390,P90,8905.900000000005,8268.900000000016,-7.152561784884048
RoBERTalex,20240515,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20240715,11,389,mediana,759.5,746.0,-1.7774851876234399
RoBERTalex,20240715,11,389,P90,8905.900000000005,8931.799999999997,0.29081844619849306
RoBERTalex,20240715,11,389,P95,16621.85,16286.99999999997,-2.0145170363108034
RoBERTalex,20240815,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20240815,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20240815,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20241015,10,390,mediana,759.5,751.5,-1.0533245556286985
RoBERTalex,20241015,10,390,P90,8905.900000000005,8268.900000000016,-7.152561784884048
RoBERTalex,20241015,10,390,P95,16621.85,15695.849999999991,-5.57098036620477
RoBERTalex,20241115,9,391,mediana,759.5,757.0,-0.3291639236339683
RoBERTalex,20241115,9,391,P90,8905.900000000005,8880.0,-0.2908184461986485
RoBERTalex,20241115,9,391,P95,16621.85,16647.5,0.15431495290838537
RoBERTalex,20250115,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20250115,10,390,P90,8905.900000000005,8044.400000000004,-9.673362602319813
RoBERTalex,20250115,10,390,P95,16621.85,15695.849999999991,-5.57098036620477
RoBERTalex,20250215,10,390,mediana,759.5,763.5,0.5266622778143493
RoBERTalex,20250215,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20250215,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20250415,10,390,mediana,759.5,759.5,0.0
RoBERTalex,20250415,10,390,P90,8905.900000000005,8044.400000000004,-9.673362602319813
RoBERTalex,20250415,10,390,P95,16621.85,16152.349999999953,-2.824595336861091
RoBERTalex,20250515,10,390,mediana,759.5,763.5,0.5266622778143493
