categoria,termino,orthographic_words,subtokens_BETO,pieces_BETO,subtokens_RoBERTalex,pieces_RoBERTalex,subtokens_MEL,pieces_MEL,subtokens_MrBERT-legal,pieces_MrBERT-legal
termino_tecnico_o_arcaismo,caducidad,1,2,cadu | ##cidad,1,Ġcaducidad,3,▁ca | duc | idad,2,▁caduc | idad
termino_tecnico_o_arcaismo,prescripción,1,1,prescripción,1,ĠprescripciÃ³n,3,▁pre | scrip | ción,2,▁presc | ripción
termino_tecnico_o_arcaismo,legitimación activa,2,4,legi | ##tima | ##ción | activa,2,ĠlegitimaciÃ³n | Ġactiva,3,▁legitima | ción | ▁activa,3,▁legitim | ación | ▁activa
termino_tecnico_o_arcaismo,legitimación pasiva,2,5,legi | ##tima | ##ción | pas | ##iva,2,ĠlegitimaciÃ³n | Ġpasiva,4,▁legitima | ción | ▁pasi | va,3,▁legitim | ación | ▁pasiva
termino_tecnico_o_arcaismo,jurisdicción,1,1,jurisdicción,1,ĠjurisdicciÃ³n,3,▁juris | di | cción,2,▁jurisdic | ción
termino_tecnico_o_arcaismo,competencia objetiva,2,2,competencia | objetiva,2,Ġcompetencia | Ġobjetiva,2,▁competencia | ▁objetiva,2,▁competencia | ▁objetiva
termino_tecnico_o_arcaismo,competencia territorial,2,2,competencia | territorial,2,Ġcompetencia | Ġterritorial,2,▁competencia | ▁territorial,2,▁competencia | ▁territorial
termino_tecnico_o_arcaismo,cosa juzgada,2,3,cosa | juz | ##gada,2,Ġcosa | Ġjuzgada,3,▁cosa | ▁juz | gada,3,▁cosa | ▁juz | gada
termino_tecnico_o_arcaismo,tutela judicial efectiva,3,3,tutela | judicial | efectiva,3,Ġtutela | Ġjudicial | Ġefectiva,3,▁tutela | ▁judicial | ▁efectiva,3,▁tutela | ▁judicial | ▁efectiva
termino_tecnico_o_arcaismo,silencio administrativo,2,2,silencio | administrativo,2,Ġsilencio | Ġadministrativo,2,▁silencio | ▁administrativo,2,▁silencio | ▁administrativo
termino_tecnico_o_arcaismo,desviación de poder,3,3,desviación | de | poder,3,ĠdesviaciÃ³n | Ġde | Ġpoder,5,▁des | vi | ación | ▁de | ▁poder,5,▁des | via | ción | ▁de | ▁poder
termino_tecnico_o_arcaismo,acto administrativo,2,2,acto | administrativo,2,Ġacto | Ġadministrativo,2,▁acto | ▁administrativo,2,▁acto | ▁administrativo
termino_tecnico_o_arcaismo,potestad reglamentaria,2,3,potestad | reglament | ##aria,2,Ġpotestad | Ġreglamentaria,4,▁potest | ad | ▁reglament | aria,4,▁pot | estad | ▁reglament | aria
termino_tecnico_o_arcaismo,responsabilidad patrimonial,2,3,responsabilidad | patri | ##monial,2,Ġresponsabilidad | Ġpatrimonial,2,▁responsabilidad | ▁patrimonial,2,▁responsabilidad | ▁patrimonial
termino_tecnico_o_arcaismo,recurso de alzada,3,3,recurso | de | alzada,3,Ġrecurso | Ġde | Ġalzada,4,▁recurso | ▁de | ▁al | zada,4,▁recurso | ▁de | ▁al | zada
termino_tecnico_o_arcaismo,recurso de reposición,3,3,recurso | de | reposición,3,Ġrecurso | Ġde | ĠreposiciÃ³n,4,▁recurso | ▁de | ▁re | posición,3,▁recurso | ▁de | ▁reposición
termino_tecnico_o_arcaismo,procedimiento sancionador,2,3,procedimiento | sancion | ##ador,2,Ġprocedimiento | Ġsancionador,3,▁procedimiento | ▁sanciona | dor,2,▁procedimiento | ▁sancionador
termino_tecnico_o_arcaismo,medida cautelar,2,3,medida | caute | ##lar,2,Ġmedida | Ġcautelar,3,▁medida | ▁cautela | r,3,▁medida | ▁caut | elar
termino_tecnico_o_arcaismo,interés legítimo,2,2,interés | legítimo,2,ĠinterÃ©s | ĠlegÃŃtimo,3,▁interés | ▁legítim | o,2,▁interés | ▁legítimo
